status,distance_bin,beta
WT,"(-1830.0, -1800.0]",0.2935616629197644
WT,"(-1800.0, -1770.0]",0.29966382623684606
WT,"(-1770.0, -1740.0]",0.3021452433283828
WT,"(-1740.0, -1710.0]",0.3073006492786362
WT,"(-1710.0, -1680.0]",0.3032065525071857
WT,"(-1680.0, -1650.0]",0.2853331116039806
WT,"(-1650.0, -1620.0]",0.2789687854499242
WT,"(-1620.0, -1590.0]",0.2825231519479606
WT,"(-1590.0, -1560.0]",0.2426836880976523
WT,"(-1560.0, -1530.0]",0.27066531773488955
WT,"(-1530.0, -1500.0]",0.25489978628061344
WT,"(-1500.0, -1470.0]",0.26879427618858465
WT,"(-1470.0, -1440.0]",0.2742631662127895
WT,"(-1440.0, -1410.0]",0.2738370097108102
WT,"(-1410.0, -1380.0]",0.2521007104578289
WT,"(-1380.0, -1350.0]",0.26448717805152294
WT,"(-1350.0, -1320.0]",0.2440691436336338
WT,"(-1320.0, -1290.0]",0.23308875156704933
WT,"(-1290.0, -1260.0]",0.22744783756260367
WT,"(-1260.0, -1230.0]",0.20678675374244337
WT,"(-1230.0, -1200.0]",0.2095999918084743
WT,"(-1200.0, -1170.0]",0.20741849962783318
WT,"(-1170.0, -1140.0]",0.19921084434946704
WT,"(-1140.0, -1110.0]",0.2170547483254648
WT,"(-1110.0, -1080.0]",0.20304870019627777
WT,"(-1080.0, -1050.0]",0.19315357635701585
WT,"(-1050.0, -1020.0]",0.19346058746592476
WT,"(-1020.0, -990.0]",0.18189673369712556
WT,"(-990.0, -960.0]",0.18644422147862283
WT,"(-960.0, -930.0]",0.1784906480949921
WT,"(-930.0, -900.0]",0.14981456936537116
WT,"(-900.0, -870.0]",0.15062529318631654
WT,"(-870.0, -840.0]",0.16457162414853757
WT,"(-840.0, -810.0]",0.15838193182221372
WT,"(-810.0, -780.0]",0.15316087853782584
WT,"(-780.0, -750.0]",0.14781950437735808
WT,"(-750.0, -720.0]",0.14145622051807943
WT,"(-720.0, -690.0]",0.14151311826574453
WT,"(-690.0, -660.0]",0.15029858503962298
WT,"(-660.0, -630.0]",0.15108488297804643
WT,"(-630.0, -600.0]",0.15882772595776704
WT,"(-600.0, -570.0]",0.16566048178199944
WT,"(-570.0, -540.0]",0.14976840050359821
WT,"(-540.0, -510.0]",0.14425559049477016
WT,"(-510.0, -480.0]",0.14235680459071778
WT,"(-480.0, -450.0]",0.144808833242925
WT,"(-450.0, -420.0]",0.14423515901436754
WT,"(-420.0, -390.0]",0.158058273697249
WT,"(-390.0, -360.0]",0.16169783136526902
WT,"(-360.0, -330.0]",0.16630576772132896
WT,"(-330.0, -300.0]",0.15491383230619096
WT,"(-300.0, -270.0]",0.15966313118769132
WT,"(-270.0, -240.0]",0.164135749239539
WT,"(-240.0, -210.0]",0.1871547509739799
WT,"(-210.0, -180.0]",0.18943325462391866
WT,"(-180.0, -150.0]",0.19829067325045735
WT,"(-150.0, -120.0]",0.20602637655984551
WT,"(-120.0, -90.0]",0.2079117737865549
WT,"(-90.0, -60.0]",0.22730332890078533
WT,"(-60.0, -30.0]",0.239084166081067
WT,"(-30.0, 0.0]",0.36587188442175334
INS,"(0.0, 0.02]",0.5176692394303709
INS,"(0.02, 0.04]",0.50091639559
INS,"(0.04, 0.06]",0.49949778226361813
INS,"(0.06, 0.08]",0.47941632025320097
INS,"(0.08, 0.1]",0.48877909072265996
INS,"(0.1, 0.12]",0.4887585231183727
INS,"(0.12, 0.14]",0.48549987676339085
INS,"(0.14, 0.16]",0.4863537845389948
INS,"(0.16, 0.18]",0.48531827527403254
INS,"(0.18, 0.2]",0.4977635955675922
INS,"(0.2, 0.22]",0.4945524489798508
INS,"(0.22, 0.24]",0.4905715431421469
INS,"(0.24, 0.26]",0.481663532039184
INS,"(0.26, 0.28]",0.4861918358774313
INS,"(0.28, 0.3]",0.48098961299516957
INS,"(0.3, 0.32]",0.4822705817866819
INS,"(0.32, 0.34]",0.4775687693880608
INS,"(0.34, 0.36]",0.47039191978047473
INS,"(0.36, 0.38]",0.4792114924862285
INS,"(0.38, 0.4]",0.48783889562161464
INS,"(0.4, 0.42]",0.4868654916474005
INS,"(0.42, 0.44]",0.4873823792927907
INS,"(0.44, 0.46]",0.4746016590194079
INS,"(0.46, 0.48]",0.49010768173081565
INS,"(0.48, 0.5]",0.4803766573064177
INS,"(0.5, 0.52]",0.4726835495864049
INS,"(0.52, 0.54]",0.4816920710876422
INS,"(0.54, 0.56]",0.474117686396656
INS,"(0.56, 0.58]",0.4701804553682238
